Title,Author,Author Birth Year,Languuage,LCC (General),LCC (Full)
"The Boats of the ""Glen Carrig""
Being an account of their Adventures in the Strange places of the Earth, after the foundering of the good ship Glen Carrig through striking upon a hidden rock in the unknown seas to the Southward; as told by John Winterstraw, Gent., to his son James Winterstraw, in the year 1757, and by him committed very properly and legibly to manuscript","Hodgson, William Hope",1877,en,P,PR
"Norwegian Life
An Account of Past and Contemporary Conditions and Progress in Norway and Sweden",UNKNOWN AUTHOR,UNKNOWN YEAR,en,D,DL
"Punchinello, Volume 2, No. 37, December 10, 1870",Various,UNKNOWN YEAR,en,A,AP
"The Sea Lions; Or, The Lost Sealers","Cooper, James Fenimore",1789,en,P,PS
So Runs the World,"Sienkiewicz, Henryk",1846,en,P,PG
Topsy-Turvy,"Verne, Jules",1828,en,P,PQ
The Westcotes,"Quiller-Couch, Arthur",1863,en,P,PR
A Romance of the Republic,"Child, Lydia Maria",1802,en,P,PS
'Twixt Land & Sea: Tales,"Conrad, Joseph",1857,en,P,PR
"A Select Collection of Old English Plays, Volume 09",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
Affair in Araby,"Mundy, Talbot",1879,en,P,PR
Roy Blakeley: His Story,"Fitzhugh, Percy Keese",1876,en,P,PZ
The first New Testament printed in English,UNKNOWN AUTHOR,UNKNOWN YEAR,en,B,BS
"Right Ho, Jeeves","Wodehouse, P. G. (Pelham Grenville)",1881,en,P,PR
"The Life of Marie Antoinette, Queen of France","Yonge, Charles Duke",1812,en,D,DC
The Old Man in the Corner,"Orczy, Emmuska Orczy, Baroness",1865,en,P,PR
Johnny Crow's Party,"Brooke, L. Leslie (Leonard Leslie)",1862,en,P,PZ
Audio: Vanity Fair,"Thackeray, William Makepeace",1811,en,P,PR
Ballads,"Stevenson, Robert Louis",1850,en,P,PR
Martin Eden,"London, Jack",1876,en,P,PS
"The Last of the Foresters
Or, Humors on the Border; A story of the Old Virginia Frontier","Cooke, John Esten",1830,en,P,PS
"Fine Feathers
Ship's Company, Part 1.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Friends in Need
Ship's Company, Part 2.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Good Intentions
Ship's Company, Part 3.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Fairy Gold
Ship's Company, Part 4.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Watch-Dogs
Ship's Company, Part 5.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"The Bequest
Ship's Company, Part 6.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"The Guardian Angel
Ship's Company, Part 7.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Dual Control
Ship's Company, Part 8.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Skilled Assistance
Ship's Company, Part 9.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Poems, with The Ballad of Reading Gaol","Wilde, Oscar",1854,en,P,PR
"For Better or Worse
Ship's Company, Part 10.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"The Old Man of the Sea
Ship's Company, Part 11.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Manners Makyth Man
Ship's Company, Part 12.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Ship's Company, the Entire Collection","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"The History of England, Volume I
From the Invasion of Julius Caesar to the Revolution in 1688","Hume, David",1711,en,D,DA
The Profiteers,"Oppenheim, E. Phillips (Edward Phillips)",1866,en,P,PR
"The Aeroplane Boys Flight
Or, A Hydroplane Roundup","Langworthy, John Luther",UNKNOWN YEAR,en,P,PZ
International Short Stories: French,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PQ
A Hidden Life and Other Poems,"MacDonald, George",1824,en,P,PR
"Joe Strong the Boy Fire-Eater
Or, The Most Dangerous Performance on Record","Barnum, Vance",UNKNOWN YEAR,en,P,PZ
The Mirror of the Sea,"Conrad, Joseph",1857,en,G,G
"The Positive School of Criminology
Three Lectures Given at the University of Naples, Italy on April 22, 23 and 24, 1901","Ferri, Enrico",1856,en,H,HV
Uncle Bernac: A Memory of the Empire,"Doyle, Arthur Conan",1859,en,P,PR
For Luncheon and Supper Guests,"Bradley, Alice",1875,en,T,TX
Holland: The History of the Netherlands,"Grattan, Thomas Colley",1792,en,D,DJ
"Air Service Boys over the Atlantic; Or, The Longest Flight on Record","Beach, Charles Amory",UNKNOWN YEAR,en,P,PZ
My Strangest Case,"Boothby, Guy",1867,en,P,PR
Mike and Psmith,"Wodehouse, P. G. (Pelham Grenville)",1881,en,P,PZ
"The Poetical Works of Addison; Gay's Fables; and Somerville's Chase
With Memoirs and Critical Dissertations, by the Rev. George Gilfillan","Addison, Joseph",1672,en,P,PR
"Seeing Europe with Famous Authors, Volume 1
Great Britain and Ireland, part 1",UNKNOWN AUTHOR,UNKNOWN YEAR,en,D,DA
"Turkish Prisoners in Egypt
A Report by the Delegates of the International Committee of the Red Cross",International Committee of the Red Cross,UNKNOWN YEAR,en,D,D501
The World Set Free,"Wells, H. G. (Herbert George)",1866,en,P,PR
"Lady Mary Wortley Montague, Her Life and Letters (1689-1762)","Melville, Lewis",1874,en,D,DA
A Lie Never Justifiable: A Study in Ethics,"Trumbull, H. Clay (Henry Clay)",1830,en,B,BJ
Adventures in Friendship,"Grayson, David",1870,en,P,PS
Great Possessions,"Grayson, David",1870,en,P,PS
"Punch, or the London Charivari, Volume 153, September 12, 1917",Various,UNKNOWN YEAR,en,A,AP
"Punch, or the London Charivari, Volume 153, September 19, 1917",Various,UNKNOWN YEAR,en,A,AP
"Cap and Gown
A Treasury of College Verse",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PN
Four Early Pamphlets,"Godwin, William",1756,en,P,PR
The Lives of the Poets of Great Britain and Ireland (1753) Volume I.,"Cibber, Theophilus",1703,en,P,PR
Lost in the Air,"Snell, Roy J. (Roy Judson)",1878,en,P,PZ
Jungle Tales of Tarzan,"Burroughs, Edgar Rice",1875,en,P,PZ
Grass of Parnassus,"Lang, Andrew",1844,en,P,PR
"A General History and Collection of Voyages and Travels — Volume 01
Arranged in Systematic Order: Forming a Complete History of the Origin and Progress of Navigation, Discovery, and Commerce, by Sea and Land, from the Earliest Ages to the Present Time","Kerr, Robert",1755,en,G,G
The Rangeland Avenger,"Brand, Max",1892,en,P,PS
"The Poetical Works of Edmund Spenser, Volume 5","Spenser, Edmund",1551,en,P,PR
With Kelly to Chitral,"Beynon, William George Laurence, Sir",1866,en,D,DS
"Les affinités électives
Suivies d'un choix de pensées du même","Goethe, Johann Wolfgang von",1749,fr,P,PT
Adventures in Contentment,"Grayson, David",1870,en,P,PS
"The Tragedie of Hamlet, Prince of Denmark
A Study with the Text of the Folio of 1623","Shakespeare, William",1564,en,P,PR
The Real Mother Goose,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PZ
"The Turquoise Cup, and, the Desert","Smith, Arthur Cosslett",1852,en,P,PS
"English Literature
Its History and Its Significance for the Life of the English-Speaking World","Long, William J. (William Joseph)",1867,en,P,PR
"Myths and Myth-Makers
Old Tales and Superstitions Interpreted by Comparative Mythology","Fiske, John",1842,en,G,GR
"Letters and Journals of James, Eighth Earl of Elgin","Elgin, James Bruce, Earl of",1811,en,D,DA
"An Essay on the Slavery and Commerce of the Human Species, Particularly the African
Translated from a Latin Dissertation, Which Was Honoured with the First Prize in the University of Cambridge, for the Year 1785, with Additions","Clarkson, Thomas",1760,en,H,HT
Supply and Demand,"Henderson, Hubert Douglas, Sir",1890,en,H,HB
The Theory of Social Revolutions,"Adams, Brooks",1848,en,J,JC
"Punch, or the London Charivari, Volume 153, September 5, 1917",Various,UNKNOWN YEAR,en,A,AP
"An Essay Concerning Humane Understanding, Volume 1
MDCXC, Based on the 2nd Edition, Books 1 and 2","Locke, John",1632,en,B,B
"An Essay Concerning Humane Understanding, Volume 2
MDCXC, Based on the 2nd Edition, Books 3 and 4","Locke, John",1632,en,B,B
"Within the Deep
Cassell's ""Eyes and No Eyes"" Series, Book VIII.","Smith, R. Cadwallader",UNKNOWN YEAR,en,Q,QL
"""Jesus Says So""
Or, a Memorial of Little Sarah G--",Unknown,UNKNOWN YEAR,en,P,PZ
"An Englishman's Travels in America
His Observations of Life and Manners in the Free and Slave States","Benwell, John",UNKNOWN YEAR,en,E,E151
First Project Gutenberg Collection of Edgar Allan Poe,"Poe, Edgar Allan",1809,en,P,PS
"The Works of Francis Beaumont and John Fletcher in Ten Volumes
Volume I.","Fletcher, John",1579,en,P,PR
"Birthright
A Novel","Stribling, T. S. (Thomas Sigismund)",1881,en,P,PS
The Lives of the Poets of Great Britain and Ireland (1753) Volume III.,"Cibber, Theophilus",1703,en,P,PR
Plays,"Glaspell, Susan",1876,en,P,PS
Three John Silence Stories,"Blackwood, Algernon",1869,en,P,PR
A Concise Dictionary of Middle English from A.D. 1150 to 1580,"Mayhew, A. L. (Anthony Lawson)",1842,en,P,PE
"The Atlantic Monthly, Volume 02, No. 10, August, 1858
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
"Beacon Lights of History, Volume 08: Great Rulers","Lord, John",1810,en,D,D
Andrew Golding: A Tale of the Great Plague,"Keeling, Annie E.",UNKNOWN YEAR,en,P,PR
Britain at Bay,"Wilkinson, Spenser",1853,en,U,UA
The Cask of Amontillado,"Poe, Edgar Allan",1809,en,P,PS
Coming to the King,"Havergal, Frances Ridley",1836,en,B,BV
Halleck's New English Literature,"Halleck, Reuben Post",1859,en,P,PR
"The Healthy Life Cook Book, 2d ed.","Daniel, Florence",UNKNOWN YEAR,en,T,TX
"The History of the Rise, Progress and Accomplishment of the Abolition of the African Slave-Trade, by the British Parliament (1839)","Clarkson, Thomas",1760,en,H,HT
"The Queen of Hearts, and Sing a Song for Sixpence","Caldecott, Randolph",1846,en,P,PZ
"Stories from the Italian Poets: with Lives of the Writers, Volume 2","Hunt, Leigh",1784,en,P,PQ
The Travels of Marco Polo — Volume 1,Rustichello of Pisa,1254,en,G,G
"The Uprising of a Great People
The United States in 1861. to Which is Added a Word of Peace on the Difference Between England the United States.","Gasparin, Agénor, comte de",1810,en,E,E456
"The Youthful Wanderer
An Account of a Tour through England, France, Belgium, Holland, Germany and the Rhine, Switzerland, Italy, and Egypt, Adapted to the Wants of Young Americans Taking Their First Glimpses at the Old World","Heffner, George H.",UNKNOWN YEAR,en,D,D
Phrases for Public Speakers and Paragraphs for Study,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PN
The Masque of the Red Death,"Poe, Edgar Allan",1809,en,P,PS
"Beacon Lights of History, Volume 09: European Statesmen","Lord, John",1810,en,D,D
"Beacon Lights of History, Volume 10: European Leaders","Lord, John",1810,en,D,D
Towards the Great Peace,"Cram, Ralph Adams",1863,en,H,HM
The World's Greatest Books — Volume 02 — Fiction,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PN
"Beacon Lights of History, Volume 11: American Founders","Lord, John",1810,en,E,E151
Go Tell Aunt Rhodie,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Roddy McCorley,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
"Beacon Lights of History, Volume 12: American Leaders","Lord, John",1810,en,E,E151
"Beacon Lights of History, Volume 13: Great Writers
Dr Lord's Uncompleted Plan, Supplemented with Essays by Emerson, Macaulay, Hedge, and Mercer Adam","Lord, John",1810,en,D,D
"Beacon Lights of History, Volume 14: The New Era
A Supplementary Volume, by Recent Writers, as Set Forth in the Preface and Table of Contents","Lord, John",1810,en,D,D
The Raven,"Poe, Edgar Allan",1809,en,P,PS
When the Saints Go Marching In,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Shenandoah,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Spanish is the Loving Tongue,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
The Squid-Jigging Ground,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
The St. James Infirmary Blues,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Autobiography of Sir George Biddell Airy,"Airy, George Biddell",1801,en,Q,QB
"A Collection of Old English Plays, Volume 2",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
"""De Bello Gallico"" and Other Commentaries","Caesar, Julius",-100,en,P,PA
Hilda Lessways,"Bennett, Arnold",1867,en,P,PR
Three More John Silence Stories,"Blackwood, Algernon",1869,en,P,PR
William the Conqueror,"Freeman, Edward A. (Edward Augustus)",1823,en,D,DA
"Lives of the English Poets
From Johnson to Kirke White, Designed as a Continuation of Johnson's Lives","Cary, Henry Francis",1772,en,P,PR
A Selection from the Discourses of Epictetus with the Encheiridion,Epictetus,55,en,B,B
The Night Land,"Hodgson, William Hope",1877,en,P,PR
"Punch, or the London Charivari, Volume 153, September 26, 1917",Various,UNKNOWN YEAR,en,A,AP
Specialiteiten,Multatuli,1820,nl,P,PT
"Life, Letters, and Epicurean Philosophy of Ninon de L'Enclos
The Celebrated Beauty of the Seventeenth Century","Lenclos, Ninon de",1620,en,D,DC
The Public vs. M. Gustave Flaubert,Various,UNKNOWN YEAR,en,P,PQ
Snake and Sword: A Novel,"Wren, Percival Christopher",1885,en,P,PR
The War and Democracy,"Wilson, John Dover",1881,en,D,D501
At Last: A Christmas in the West Indies,"Kingsley, Charles",1819,en,F,F2001
Personal Memoirs of U. S. Grant — Volume 1,"Grant, Ulysses S. (Ulysses Simpson)",1822,en,E,E660
"With Zola in England
A Story of Exile","Vizetelly, Ernest Alfred",1853,en,D,DC
"The Botanic Garden. Part II.
Containing the Loves of the Plants. a Poem.
With Philosophical Notes.","Darwin, Erasmus",1731,en,P,PR
"Game and Playe of the Chesse
A Verbatim Reprint of the First Edition, 1474","Caxton, William",UNKNOWN YEAR,en,G,GV
"The Principal Navigations, Voyages, Traffiques and Discoveries of the English Nation — Volume 09
Asia, Part II","Hakluyt, Richard",UNKNOWN YEAR,en,G,G
"How to Use Your Mind
A Psychology of Study: Being a Manual for the Use of Students and Teachers in the Administration of Supervised Study","Kitson, Harry Dexter",UNKNOWN YEAR,en,L,LB
Pebbles on the shore [by] Alpha of the plough,"Gardiner, A. G. (Alfred George)",1865,en,P,PR
The Reign of Greed,"Rizal, José",1861,en,P,PQ
"Biographical Memorials of James Oglethorpe
Founder of the Colony of Georgia, in North America.","Harris, Thaddeus Mason",1768,en,F,F206
"Histoire de la Révolution française, Tome 4","Thiers, Adolphe",1797,fr,D,DC
The Story of the Other Wise Man,"Van Dyke, Henry",1852,en,P,PZ
Personal Memoirs of U. S. Grant — Volume 2,"Grant, Ulysses S. (Ulysses Simpson)",1822,en,E,E660
La Bretagne. Paysages et Récits.,"Loudun, Eugène",1818,fr,D,DC
Roget's Thesaurus of English Words and Phrases,"Roget, Peter Mark",1779,en,P,PE
Les chasseurs de chevelures,"Reid, Mayne",1818,fr,P,PZ
Lettre à l'Empereur Alexandre sur la traite des noirs,"Wilberforce, William",1759,fr,H,HT
A History of Freedom of Thought,"Bury, J. B. (John Bagnell)",1861,en,B,BL
Curiosités Infernales,"Jacob, P. L.",1806,fr,B,BF
Tine,"Bang, Herman",1857,da,P,PT
Tartarin de Tarascon,"Daudet, Alphonse",1840,fr,P,PQ
"The Camp Fire Girls at Camp Keewaydin; Or, Paddles Down","Frey, Hildegard G.",1891,en,P,PZ
La Cour de Louis XIV,Imbert de Saint-Amand,1834,fr,D,DC
Four Short Stories By Emile Zola,"Zola, Émile",1840,en,P,PQ
"A Desperate Chance; Or, The Wizard Tramp's Revelation, a Thrilling Narrative",Old Sleuth,1837,en,P,PS
Select Speeches of Kossuth,"Kossuth, Lajos",1802,en,D,DB
A Life of Gen. Robert E. Lee,"Cooke, John Esten",1830,en,E,E456
"A Political Diary, 1828-1830, Volume II","Ellenborough, Edward Law, Earl of",1790,en,D,DA
Sea-Power and Other Studies,"Bridge, Cyprian, Sir",1839,en,V,V
"The Atlantic Monthly, Volume 03, No. 15, January, 1859
A Magazine of Literature, Art, and Politics",Various,UNKNOWN YEAR,en,A,AP
The Danger Trail,"Curwood, James Oliver",1878,en,P,PS
"Discours sur la nécessité et les moyens de détruire l'esclavage dans les colonies
Lu à la séance publique de l'Académie royale des sciences, belles lettres et arts de Bordeaux, le 26 Août 1788","Laffon de Ladébat, André-Daniel",1746,fr,J,JV
"The Aeroplane Boys on the Wing
Or, Aeroplane Chums in the Tropics","Langworthy, John Luther",UNKNOWN YEAR,en,P,PZ
Character Writings of the Seventeenth Century,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
Far from the Madding Crowd,"Hardy, Thomas",1840,en,P,PR
UNKNOWN TITLE,UNKNOWN AUTHOR,UNKNOWN YEAR,en,UNKNOWN LCC,UNKNOWN LCC
"The History of England from the First Invasion by the Romans
to the Accession of King George the Fifth
Volume 8","Belloc, Hilaire",1870,en,D,DA
"The History of Rome, Book I
The Period Anterior to the Abolition of the Monarchy","Mommsen, Theodor",1817,en,D,DG
"The History of Rome, Book II
From the Abolition of the Monarchy in Rome to the Union of Italy","Mommsen, Theodor",1817,en,D,DG
"The History of Rome, Book III
From the Union of Italy to the Subjugation of Carthage and the Greek States","Mommsen, Theodor",1817,en,D,DG
"The History of Rome, Book IV
The Revolution","Mommsen, Theodor",1817,en,D,DG
"The History of Rome, Book V
The Establishment of the Military Monarchy","Mommsen, Theodor",1817,en,D,DG
The History of Rome (Volumes 1-5),"Mommsen, Theodor",1817,en,D,DG
"A Christmas Mystery
The Story of Three Wise Men","Locke, William John",1863,en,P,PR
Miscellaneous Essays,"De Quincey, Thomas",1785,en,P,PR
Prince Zaleski,"Shiel, M. P. (Matthew Phipps)",1865,en,P,PR
UNKNOWN TITLE,UNKNOWN AUTHOR,UNKNOWN YEAR,en,UNKNOWN LCC,UNKNOWN LCC
Problems of Poverty: An Inquiry into the Industrial Condition of the Poor,"Hobson, J. A. (John Atkinson)",1858,en,H,HD
"Punch, or the London Charivari, Volume 153, October 3, 1917",Various,UNKNOWN YEAR,en,A,AP
"White Jacket; Or, The World on a Man-of-War","Melville, Herman",1819,en,P,PS
"The Bullitt Mission to Russia
Testimony before the Committee on Foreign Relations, United States Senate, of William C. Bullitt","Bullitt, William C. (William Christian)",1891,en,D,D
The Essays of Arthur Schopenhauer; The Art of Literature,"Schopenhauer, Arthur",1788,en,B,B
The Essays of Arthur Schopenhauer; Counsels and Maxims,"Schopenhauer, Arthur",1788,en,B,B
"The Epic
An Essay","Abercrombie, Lascelles",1881,en,P,PN
"The Extant Odes of Pindar
Translated with Introduction and Short Notes by Ernest Myers",Pindar,-522,en,P,PA
The House of Whispers,"Le Queux, William",1864,en,P,PR
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 345, December 6, 1828",Various,UNKNOWN YEAR,en,A,AP
UNKNOWN TITLE,UNKNOWN AUTHOR,UNKNOWN YEAR,en,UNKNOWN LCC,UNKNOWN LCC
Doctor Pascal,"Zola, Émile",1840,en,P,PQ
"Punch, or the London Charivari, Volume 153, October 10, 1917",Various,UNKNOWN YEAR,en,A,AP
Plays,"Ostrovsky, Aleksandr Nikolaevich",1823,en,P,PG
Betty's Bright Idea; Deacon Pitkin's Farm; and the First Christmas of New England,"Stowe, Harriet Beecher",1811,en,P,PS
The Store Boy,"Alger, Horatio",1832,en,P,PZ
The Centralia Conspiracy,"Chaplin, Ralph",1887,en,H,HD
"Outlines of Lessons in Botany, Part I; from Seed to Leaf
For the Use of Teachers, or Mothers Studying with Their Children","Newell, Jane H. (Jane Hancox)",UNKNOWN YEAR,en,Q,QK
"A Set of Rogues
Namely Christopher Sutton, John Dawson, the Señor Don Sanchez Del Castillo De Castelaña and Moll Dawson; Their Wicked Conspiracy, and a True Account of Their Travels and Adventures","Barrett, Frank",1848,en,P,PR
"Christie, the King's Servant
A Sequel to ""Christie's Old Organ""","Walton, O. F., Mrs.",1849,en,P,PZ
"Jack's Ward; Or, The Boy Guardian","Alger, Horatio",1832,en,P,PZ
No title,UNKNOWN AUTHOR,UNKNOWN YEAR,en,UNKNOWN LCC,UNKNOWN LCC
"The Mirror of Literature, Amusement, and Instruction
Volume 12, No. 344 (Supplementary Issue)",Various,UNKNOWN YEAR,en,A,AP
The Essays of Arthur Schopenhauer; the Art of Controversy,"Schopenhauer, Arthur",1788,en,B,B
The Essays of Arthur Schopenhauer; Studies in Pessimism,"Schopenhauer, Arthur",1788,en,B,B
Studies in Civics,"McCleary, J. T. (James Thompson)",1853,en,J,JK
"A Collection of Old English Plays, Volume 3",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
Christmas Eve on Lonesome and Other Stories,"Fox, John",1863,en,P,PS
Children of the Frost,"London, Jack",1876,en,P,PS
Book about Animals,"Merrill, Rufus",1803,en,Q,QL
"Mahomet, Founder of Islam","Draycott, Gladys M.",UNKNOWN YEAR,en,B,BP
The Essays of Arthur Schopenhauer; On Human Nature,"Schopenhauer, Arthur",1788,en,B,B
The Sea-Wolf,"London, Jack",1876,en,P,PS
The Way of Peace,"Allen, James",1864,en,B,BF
The Essays of Arthur Schopenhauer: the Wisdom of Life,"Schopenhauer, Arthur",1788,en,B,B
The Picture Alphabet,"Spafford, Oliver",UNKNOWN YEAR,en,P,PZ
Moonfleet,"Falkner, John Meade",1858,en,P,PR
"Men, Women, and Ghosts","Phelps, Elizabeth Stuart",1844,en,P,PS
The Story of the Champions of the Round Table,"Pyle, Howard",1853,en,P,PZ
Boule de Suif,"Maupassant, Guy de",1850,fr,P,PQ
Chantecler: Play in Four Acts,"Rostand, Edmond",1868,en,P,PQ
The World's Greatest Books — Volume 03 — Fiction,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PN
The Circus Procession,Unknown,UNKNOWN YEAR,en,P,PZ
The Strength of the Strong,"London, Jack",1876,en,P,PS
"The Miracle, and Other Poems","Sheard, Virna",1864,en,P,PS
"Oregon, Washington and Alaska; Sights and Scenes for the Tourist","Lomax, E. L. (Edward Lloyd)",1852,en,F,F850.5
Мислите в главите,"Stojan, Harry",UNKNOWN YEAR,bg,P,PG
Open Source Democracy: How online communication is changing offline politics,"Rushkoff, Douglas",UNKNOWN YEAR,en,H,HM
Little Sarah,Unknown,UNKNOWN YEAR,en,P,PZ
The Broken Road,"Mason, A. E. W. (Alfred Edward Woodley)",1865,en,P,PR
Between Whiles,"Jackson, Helen Hunt",1830,en,P,PS
Pretty Saro,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Star-Spangled Banner,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
Tarrytown,"McGuinn, Roger",UNKNOWN YEAR,en,M,M
The Wallet of Kai Lung,"Bramah, Ernest",1867,en,P,PR
A Florida Sketch-Book,"Torrey, Bradford",1843,en,F,F296
"Essays of Robert Louis Stevenson
Selected and Edited With an Introduction and Notes by William Lyon Phelps","Stevenson, Robert Louis",1850,en,P,PR
Impressions of Theophrastus Such,"Eliot, George",1819,en,P,PR
"It Can Be Done
Poems of Inspiration",UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
Lettres écrites d'Égypte et de Nubie en 1828 et 1829,"Champollion, Jean-François",1790,fr,P,PJ
Thrilling Adventures by Land and Sea,"Brayman, James O.",1815,en,G,G
"Enquire Within Upon Everything
The Great Victorian Domestic Standby",Anonymous,UNKNOWN YEAR,en,A,AG
Courage,"Barrie, J. M. (James Matthew)",1860,en,B,BJ
L'égyptologie,"Maspero, G. (Gaston)",1846,fr,D,DT
A Wanderer in Florence,"Lucas, E. V. (Edward Verrall)",1868,en,D,DG
The Mirror of Kong Ho,"Bramah, Ernest",1867,en,P,PR
The Former Philippines thru Foreign Eyes,"Wilkes, Charles",1798,en,D,DS
Philippine Folklore Stories,"Miller, John Maurice",UNKNOWN YEAR,en,G,GR
"Inca Land
Explorations in the Highlands of Peru","Bingham, Hiram",1875,en,F,F3401
Ancient and Modern Physics,"Willson, Thomas E.",UNKNOWN YEAR,en,Q,QC
"Récits d'un soldat
Une Armée Prisonnière; Une Campagne Devant Paris","Achard, Amédée",1814,fr,P,PQ
Le Horla,"Maupassant, Guy de",1850,fr,P,PQ
"The Moving Picture Boys at Panama; Or, Stirring Adventures Along the Great Canal","Appleton, Victor",UNKNOWN YEAR,en,P,PZ
Probable Sons,"Le Feuvre, Amy",UNKNOWN YEAR,en,P,PZ
"The Prose Marmion
A Tale of the Scottish Border","Jenkins, Sara Davis",1771,en,P,PZ
"Happy Little Edward
And His Pleasant Ride and Rambles in the Country.",Unknown,UNKNOWN YEAR,en,P,PZ
The Scouts of the Valley,"Altsheler, Joseph A. (Joseph Alexander)",1862,en,P,PS
Only an Incident,"Litchfield, Grace Denio",1849,en,P,PS
"Deserted
Sailor's Knots, Part 1.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Homeward Bound
Sailor's Knots, Part 2.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Self-Help
Sailor's Knots, Part 3.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Sentence Deferred
Sailor's Knots, Part 4.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Matrimonial Openings
Sailor's Knots, Part 5.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Odd Man Out
Sailor's Knots, Part 6.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"The Toll-House
Sailor's Knots, Part 7.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Peter's Pence
Sailor's Knots, Part 8.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"The Head of the Family
Sailor's Knots, Part 9.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"The Life and Opinions of Tristram Shandy, Gentleman","Sterne, Laurence",1713,en,P,PR
"Prize Money
Sailor's Knots, Part 10.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Double Dealing
Sailor's Knots, Part 11.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
"Keeping Up Appearances
Sailor's Knots, Part 12.","Jacobs, W. W. (William Wymark)",1863,en,P,PR
Sailor's Knots (Entire Collection),"Jacobs, W. W. (William Wymark)",1863,en,P,PR
Dahcotah: Life and Legends of the Sioux Around Fort Snelling,"Eastman, Mary H. (Mary Henderson)",1818,en,E,E011
Yorkshire—Coast and Moorland Scenes,"Home, Gordon",1878,en,D,DA
The Story of the Two Bulls,"Bolles, John R. (John Rogers)",1810,en,P,PZ
The Wits and Beaux of Society. Volume 2,"Thomson, A. T., Mrs.",1797,en,D,DA
Paths of Glory: Impressions of War Written at and Near the Front,"Cobb, Irvin S. (Irvin Shrewsbury)",1876,en,D,D501
Clarissa Harlowe; or the history of a young lady — Volume 5,"Richardson, Samuel",1689,en,P,PR
The Return of Sherlock Holmes,"Doyle, Arthur Conan",1859,en,P,PR
"A Modest Proposal
For preventing the children of poor people in Ireland, from being a burden on their parents or country, and for making them beneficial to the publick","Swift, Jonathan",1667,en,P,PR
The Anatomy of Melancholy,"Burton, Robert",1577,en,P,PR
"The Literary Remains of Samuel Taylor Coleridge, Volume 4","Coleridge, Samuel Taylor",1772,en,P,PR
"Project Gutenberg ""10K"" DVD",UNKNOWN AUTHOR,UNKNOWN YEAR,en,UNKNOWN LCC,UNKNOWN LCC
"A General History and Collection of Voyages and Travels — Volume 02
Arranged in Systematic Order: Forming a Complete History of the Origin and Progress of Navigation, Discovery, and Commerce, by Sea and Land, from the Earliest Ages to the Present Time","Kerr, Robert",1755,en,G,G
