Title,Author,Author Birth Year,Languuage,LCC (General),LCC (Full)
"Punchinello, Volume 2, No. 35, November 26, 1870",Various,UNKNOWN YEAR,en,A,AP
Turkey: a Past and a Future,"Toynbee, Arnold",1889,en,D,D501
"Reminiscences of Pioneer Days in St. Paul
A Collection of Articles Written for and Published in the Daily Pioneer Press","Moore, Frank",1843,en,F,F590.3
America's War for Humanity,"Russell, Thomas Herbert",1862,en,D,D501
The Merry Adventures of Robin Hood,"Pyle, Howard",1853,en,P,PR
"Home as Found
Sequel to ""Homeward Bound""","Cooper, James Fenimore",1789,en,P,PS
The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life,"Parkman, Francis",1823,en,F,F590.3
Dracula's Guest,"Stoker, Bram",1847,en,P,PR
"The Great Events by Famous Historians, Volume 05
(From Charlemagne to Frederick Barbarossa)",UNKNOWN AUTHOR,UNKNOWN YEAR,en,D,D
Voice Trial - Kinetophone actor audition,"Lett, Bob",UNKNOWN YEAR,en,P,PN
Voice Trial - Kinetophone Actor Audition,"Lenord, Frank",UNKNOWN YEAR,en,P,PN
Voice Trial - Kinetophone Actor Audition,"Schultz, Siegfried Von",UNKNOWN YEAR,en,P,PN
The Right of the People to Rule,"Roosevelt, Theodore",1858,en,J,JK
M'appari - Martha,UNKNOWN AUTHOR,UNKNOWN YEAR,it,M,M
"Which Switch is the Switch, Miss, for Ipswich?
From Rosy Rapture",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Daybreak at Calamity Farm,"Girard, Gilbert",UNKNOWN YEAR,en,P,PS
England and the War,"Raleigh, Walter Alexander, Sir",1861,en,D,D501
On the Improvement of the Understanding,"Spinoza, Benedictus de",1632,en,B,B
Pierre Nozière,"France, Anatole",1844,fr,P,PQ
English Poets of the Eighteenth Century,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PR
"Dio's Rome, Volume 3
An Historical Narrative Originally Composed in Greek During The Reigns of Septimius Severus, Geta and Caracalla, Macrinus, Elagabalus and Alexander Severus",Cassius Dio Cocceianus,UNKNOWN YEAR,en,D,DG
"Mohammedanism
Lectures on Its Origin, Its Religious and Political Growth, and Its Present State","Hurgronje, C. Snouck (Christiaan Snouck)",1857,en,B,BP
"The Black Creek Stopping-House, and Other Stories","McClung, Nellie L.",1873,en,P,PS
"Across the Zodiac
The Story of a Wrecked Record","Greg, Percy",1836,en,P,PR
"What Germany Thinks
Or, The War as Germans see it","Smith, Thomas F. A.",1875,en,D,D501
Mr. Thomas Cat,Edison Concert Band,UNKNOWN YEAR,en,M,M
Kaiser Frederick March,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Semper Fidelis March,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
The Soul of Man under Socialism,"Wilde, Oscar",1854,en,H,HX
Stars and Stripes Forever,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Santa Lucia,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Minuet in G Flat major and Valse Bluette,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Hungarian Rhapsody No. 2, Part 1",Edison Concert Band,UNKNOWN YEAR,en,M,M
"William Tell Overture, Pt. 2",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Prelude in C Sharp Minor, Op. 3",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"The Debutante
Caprice Brillante",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Ride of the Valkyries,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Piano Sonata No. 14 in C sharp minor ""Moonlight""",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Extracts from the Ballet-Suite Scherazada, Pt. 1",American Concert Orchestra,UNKNOWN YEAR,en,M,M
The Water-Babies,"Kingsley, Charles",1819,en,P,PZ
"Slavonic Dance, No. 1",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Clair de Lune
From Suite Bergamasque",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Trio No. 1 in B Flat, Pt. 1
1st Movement, allegro moderato, Op. 99",New York Trio,UNKNOWN YEAR,en,M,M
"Etude Nouvelle in A Flat and Etude in C Major, Op. 10, No. 1",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Quartet in G, 1st Movement, Pt. 1",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Minstrel Potpourri,Edison Minstrels,UNKNOWN YEAR,en,M,M
Schultz at the Paris Exposition,"Kennedy, Frank",UNKNOWN YEAR,en,P,PS
Reuben Haskin's ride on the Cyclone Auto,"Spencer, Len",1867,en,P,PS
Two Rubes at the Vaudeville,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PS
Three Rubes Seeing New York,Edison Vaudeville Company,UNKNOWN YEAR,en,P,PS
"Poems by Currer, Ellis, and Acton Bell","Brontë, Charlotte",1816,en,P,PR
A Bunch of Nonsense: Vaudeville Specialty,"Hill, Murry K.",UNKNOWN YEAR,en,P,PS
Fourth of July at Punkin Center,"Stewart, Cal",1856,en,P,PS
"Interruptions
Comic Sketch","Woottwell, Tom",UNKNOWN YEAR,en,M,M
Backyard Conversation Between Mrs. Reilly and Mrs. Finnegan,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PS
Opera Reel with Calls,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Lonesome Road Blues,Blue Ridge Duo,UNKNOWN YEAR,en,M,M
Cluck Old Hen,Fiddlin' Powers & Family,UNKNOWN YEAR,en,M,M
He Was Nailed to the Cross for Me,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Barbara Allen,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
Down in a Georgia Jail,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
The Tragedy of Pudd'nhead Wilson,"Twain, Mark",1835,en,P,PS
Sword Blades and Poppy Seed,"Lowell, Amy",1874,en,P,PS
"To Edison from Colonel Gouraud, Introducing Mr. Gladstone
The Phonograph's Salutation",UNKNOWN AUTHOR,UNKNOWN YEAR,en,T,TK
The Desert of Wheat,"Grey, Zane",1872,en,P,PS
"Maria Mitchell: Life, Letters, and Journals","Mitchell, Maria",1818,en,Q,QB
"Big Ben Clock Tower of Westminster
Striking half past 10, quarter to 11, and 11 o'clock",UNKNOWN AUTHOR,UNKNOWN YEAR,en,T,TS
Charge of the Light Brigade,"Landfrey, Kenneth",UNKNOWN YEAR,en,M,M
"Words of Welcome
Opening of the Electrical Exposition of New York City","Hobart, Garret A. (Garret Augustus)",1844,en,T,TK
The Liver Complaint Story,"Edison, Thomas A. (Thomas Alva)",1847,en,P,PS
The Railroad Question,"Bryan, William Jennings",1860,en,H,HE
The Rights of Labor,"Taft, William H. (William Howard)",1857,en,H,HD
"Electricity and Progress
Opening of the New York Electrical Show","Edison, Thomas A. (Thomas Alva)",1847,en,T,TK
"The Congo, and Other Poems","Lindsay, Vachel",1879,en,P,PS
"Wolves of the Sea
Being a Tale of the Colonies from the Manuscript of One Geoffry Carlyle, Seaman, Narrating Certain Strange Adventures Which Befell Him Aboard the Pirate Craft ""Namur""","Parrish, Randall",1858,en,P,PS
At Whispering Pine Lodge,"Leslie, Lawrence J.",UNKNOWN YEAR,en,P,PS
Peck's Bad Boy with the Circus,"Peck, George W. (George Wilbur)",1840,en,P,PZ
The Everlasting Whisper,"Gregory, Jackson",1882,en,P,PS
Introduction to the Philosophy and Writings of Plato,"Taylor, Thomas",1758,en,B,B
"Manfredo Palavicino, o, I Francesi e gli Sforzeschi
Storia Italiana","Rovani, Giuseppe",1818,it,P,PQ
Poems,"Holley, Marietta",1836,en,P,PS
The Land of Little Rain,"Austin, Mary Hunter",1868,en,F,F850.5
Stauder,"Brandt, G. N. (Gudmund Nyeland)",1878,da,S,SB
The Poetical Works of William Wordsworth — Volume 1 (of 8),"Wordsworth, William",1770,en,P,PR
Walking,"Thoreau, Henry David",1817,en,P,PS
Daddy Takes Us Skating,"Garis, Howard Roger",1873,en,P,PZ
Purple Springs,"McClung, Nellie L.",1873,en,P,PS
"The Pilgrims of New England
A Tale of the Early American Settlers","Webb-Peploe, Mrs. (Annie)",1805,en,P,PR
Meyers Konversationslexikon Band 15,Various,UNKNOWN YEAR,de,A,AE
"Kalitan, Our Little Alaskan Cousin","Nixon-Roulet, Mary F.",UNKNOWN YEAR,en,P,PZ
Their Crimes,UNKNOWN AUTHOR,UNKNOWN YEAR,en,D,D501
Beautiful Joe: An Autobiography,"Saunders, Marshall",1861,en,P,PS
Tolstoy's Plower Story,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PG
El Presidente Díaz al Señor Edison,"Díaz, Porfirio",1830,es,T,TK
My South Polar Expedition,"Shackleton, Ernest Henry, Sir",1874,en,G,G
Bleak House,"Dickens, Charles",1812,en,P,PR
Remarks from a Visit to Edison Laboratory,"Daniels, Josephus",1862,en,T,TK
Remarks from a Visit to Edison Laboratory,"Daniels, Addie Worth Bagley",1869,en,T,TK
Remarks from a Visit to Edison Laboratory,"Miles, Nelson Appleton",1839,en,T,TK
Transcontinental Telephone Address to Thomas A. Edison,"Hutchinson, Miller Reese",1876,en,T,TK
Old Creole Days: A Story of Creole Life,"Cable, George Washington",1844,en,P,PS
Discussion on Edison's Monoid Theory,"Edison, Theodore M.",UNKNOWN YEAR,en,T,TK
International Correspondence School - Spanish Lesson #9,UNKNOWN AUTHOR,UNKNOWN YEAR,en,P,PC
Siegel-Myers School of Music - Vocal Record F,UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Ediphone School Record No. 2
90 WPM-1",UNKNOWN AUTHOR,UNKNOWN YEAR,en,H,HF
2nd Record,Losey's Orchestra,UNKNOWN YEAR,en,M,M
The Wrecker,"Stevenson, Robert Louis",1850,en,P,PR
"Plaque No. 1
Exp. No. 1-2-3-4, Recorder #20",Losey's Orchestra,UNKNOWN YEAR,en,M,M
"Plaque No. 2
Exp. No. 5-6-7-8, Recorder #20",Losey's Orchestra,UNKNOWN YEAR,en,M,M
"Plaque No. 6
Exp. No. 27, Recorder #20",Losey's Orchestra,UNKNOWN YEAR,en,M,M
"Radio Program for WAAM, Newark, New Jersey",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
"Johnson ""Jass"" Blues
Fox Trot",UNKNOWN AUTHOR,UNKNOWN YEAR,en,M,M
