Title,Authors,Author Birth Years,Languages,LCC Subjects
Kitty's Class Day and Other Stories,"Alcott, Louisa May",1832,en,PS
The Creative Process in the Individual,"Troward, T. (Thomas)",1847,en,BF
Sketches of the East Africa Campaign,"Dolbey, Robert Valentine",1878,en,D501
The Bravo: A Tale,"Cooper, James Fenimore",1789,en,PS
Yeast: a Problem,"Kingsley, Charles",1819,en,PR
Precaution: A Novel,"Cooper, James Fenimore",1789,en,PS
"Freedom's Battle
Being a Comprehensive Collection of Writings and Speeches on the Present Situation","Gandhi, Mahatma",1869,en,DS
Poems,"Carr, John, Sir",1772,en,PR
The Vizier of the Two-Horned Alexander,"Stockton, Frank Richard",1834,en,PS
"Memoir and Diary of John Yeardley, Minister of the Gospel","Yeardley, John",1786,en,BX
Sustained honor: The Age of Liberty Established,"Musick, John R. (John Roy)",1849,en,PS
The Cinema Murder,"Oppenheim, E. Phillips (Edward Phillips)",1866,en,PR
Bunch Grass: A Chronicle of Life on a Cattle Ranch,"Vachell, Horace Annesley",1861,en,PR
The Middle Temple Murder,"Fletcher, J. S. (Joseph Smith)",1863,en,PR
The Ramblin' Kid,"Bowman, Earl Wayland",1875,en,PS
England's Antiphon,"MacDonald, George",1824,en,PR
American Indian Stories,Zitkala-Sa,1876,en,E011
The Evil Guest,"Le Fanu, Joseph Sheridan",1814,en,PR
Autobiography,"Mill, John Stuart",1806,en,B
At Love's Cost,"Garvice, Charles",1850,en,PR
The Life of John Bunyan,"Venables, Edmund",1819,en,PR
Bible Stories and Religious Classics,"Wells, Philip P. (Philip Patterson)",1868,en,PZ BS
"The History of a Crime
The Testimony of an Eye-Witness","Hugo, Victor",1802,en,DC
"Thoughts on the Necessity of Improving the Condition of the Slaves in the British Colonies
With a View to Their Ultimate Emancipation; and on the Practicability, the Safety, and the Advantages of the Latter Measure.","Clarkson, Thomas",1760,en,HT
A Century Too Soon: The Age of Tyranny,"Musick, John R. (John Roy)",1849,en,PS
"Northern Trails, Book I.","Long, William J. (William Joseph)",1867,en,QL
The Edinburgh Lectures on Mental Science,"Troward, T. (Thomas)",1847,en,BF
The Wolf's Long Howl,"Waterloo, Stanley",1846,en,PS
The Reminiscences of Sir Henry Hawkins (Baron Brampton),"Brampton, Henry Hawkins, Baron",1817,en,KD
Making the House a Home,"Guest, Edgar A. (Edgar Albert)",1881,en,PS
Stolen Treasure,"Pyle, Howard",1853,en,PS
Joy and Power: Three Messages with One Meaning,"Van Dyke, Henry",1852,en,PS
"Affairs of State
Being an Account of Certain Surprising Adventures Which Befell an American Family in the Land of Windmills","Stevenson, Burton Egbert",1872,en,PS
The American Child,"McCracken, Elizabeth",1876,en,HQ
Missionary Travels and Researches in South Africa,"Livingstone, David",1813,en,DT
Around the World in Eighty Days,"Verne, Jules",1828,en,PQ
"Personal Memoir of Daniel Drayton, For Four Years and Four Months a Prisoner (For Charity's Sake) in Washington Jail
Including A Narrative Of The Voyage And Capture Of The Schooner Pearl","Drayton, Daniel",1802,en,E300 KF
A Man and His Money,"Isham, Frederic Stewart",1866,en,PS
Man-Size,"Raine, William MacLeod",1871,en,PS
