Title,Authors,Author Birth Years,Languages,LCC Subjects
"Oscar Wilde, His Life and Confessions — Volume 1","Harris, Frank",1856,en,PR
"King Eric and the Outlaws, Vol. 1
or, the Throne, the Church, and the People in the Thirteenth Century.","Ingemann, Bernhard Severin",1789,en,PT
"King Eric and the Outlaws, Vol. 2
or, the Throne, the Church, and the People in the Thirteenth Century.","Ingemann, Bernhard Severin",1789,en,PT
"King Eric and the Outlaws, Vol. 3
or, the Throne, the Church, and the People in the Thirteenth Century.","Ingemann, Bernhard Severin",1789,en,PT
A Night in Avignon,"Rice, Cale Young",1872,en,PS
A Key to Lord Tennyson's 'In Memoriam',"Gatty, Alfred",1813,en,PR
A Book of Ghosts,"Baring-Gould, S. (Sabine)",1834,en,PR
"Chickamauga. Useless, Disastrous Battle","Atkins, Smith D. (Smith Dykins)",1836,en,E456
Eli's Children: The Chronicles of an Unhappy Family,"Fenn, George Manville",1831,en,PR
The Coward: A Novel of Society and the Field in 1863,"Morford, Henry",1823,en,PS
Louisiana Beef Cattle,"Stubbs, William Carter",1846,en,SF
Home Influence: A Tale for Mothers and Daughters,"Aguilar, Grace",1816,en,PR
Yvette,"Maupassant, Guy de",1850,en,PQ
The Mystery of Francis Bacon,"Smedley, William T. (William Thomas)",1851,en,PR
"The Castle of Andalusia: A Comic Opera, in Three Acts","O'Keeffe, John",1747,en,PR
"Cruisings in the Cascades
A Narrative of Travel, Exploration, Amateur Photography,
Hunting, and Fishing","Shields, G. O. (George O.)",1846,en,SK
Pleasure & Profit in Bible Study,"Moody, Dwight Lyman",1837,en,BS
The Log of a Sea-Waif: Being Recollections of the First Four Years of My Sea Life,"Bullen, Frank Thomas",1857,en,PR
"Magic
In which are given clear and concise explanations of all the well-known illusions as well as many new ones.","Stanyon, Ellis",1870,en,GV
"The Journal of Countess Françoise Krasinska, Great Grandmother of Victor Emmanuel","Tańska-Hoffmanowa, Klementyna",1798,en,PG
Kentucky Poems,"Cawein, Madison Julius",1865,en,PS
The Palm Tree Blessing,"Shepard, William Edward",1862,en,BV
"John Leech, His Life and Work. Vol. 1 [of 2]","Frith, William Powell",1819,en,NC
Goops and How to Be Them,"Burgess, Gelett",1866,en,BJ
The Sins of the Father: A Romance of the South,"Dixon, Thomas",1864,en,PS
Polish Fairy Tales,"Gliński, A. J. (Antoni Józef)",1817,en,PZ
Andreas Hofer: An Historical Novel,"Mühlbach, L. (Luise)",1814,en,PT
A House Party with the Tucker Twins,"Speed, Nell",1878,en,PZ
Tripping with the Tucker Twins,"Speed, Nell",1878,en,PZ
"Roster of Company I, 24th Regiment, Massachusetts Volunteers","Amory, Charles Bean",1841,en,E456
Scenes and Adventures in the Semi-Alpine Region of the Ozark Mountains of Missouri and Arkansas,"Schoolcraft, Henry Rowe",1793,en,F396
"Sea Monsters Unmasked, and Sea Fables Explained","Lee, Henry",1826,en,QL
"The Puddleford Papers; Or, Humors of the West","Riley, Henry Hiram",1813,en,PS
An American,"Gue, Belle Willey",1860,en,PS
Wolfville Days,"Lewis, Alfred Henry",1857,en,PS
Fore!,"Van Loan, Charles E. (Charles Emmett)",1876,en,PS
Molly Brown's Freshman Days,"Speed, Nell",1878,en,PZ
The Vicar of Wrexhill,"Trollope, Frances Milton",1780,en,PR
"Sketch of Dunbarton, New Hampshire","Mills, Ella",1848,en,F001
"The Albert N'Yanza, Great Basin of the Nile, And Explorations of the Nile Sources","Baker, Samuel White, Sir",1821,en,DT
Anarchism,"Eltzbacher, Paul",1868,en,HX
"Conversations on Natural Philosophy, in which the Elements of that Science are Familiarly Explained","Marcet, Mrs. (Jane Haldimand)",1769,en,QC
The Whole Armour of God,"Jowett, John Henry",1864,en,BX
"Right Living as a Fine Art
A Study of Channing's Symphony as an Outline of the Ideal Life and Character","Hillis, Newell Dwight",1858,en,BJ
Revisiting the Earth,"Hill, James Langdon",1848,en,PS
"History of the Discovery of the Northwest by John Nicolet in 1634
With a Sketch of his Life","Butterfield, Consul Willshire",1824,en,F476
Bab: A Sub-Deb,"Rinehart, Mary Roberts",1876,en,PS
A New Medley of Memories,"Hunter Blair, David Oswald, Sir",1853,en,BX
Verse and Worse,"Graham, Harry",1874,en,PR
"A Bayard From Bengal
Being some account of the Magnificent and Spanking Career of Chunder Bindabun Bhosh,...","Anstey, F.",1856,en,PR
By Right of Purchase,"Bindloss, Harold",1866,en,PR
"Charles' Journey to France, and Other Tales","Barbauld, Mrs. (Anna Letitia)",1743,en,PZ
"Only a Girl: or, A Physician for the Soul.","Hillern, Wilhelmine von",1836,en,PT
The Haunted Homestead: A Novel,"Southworth, Emma Dorothy Eliza Nevitte",1819,en,PS
Dickens,"Ward, Adolphus William, Sir",1837,en,PR
Yekl: A Tale of the New York Ghetto,"Cahan, Abraham",1860,en,PS
Molly Brown's Junior Days,"Speed, Nell",1878,en,PZ
Recollections of a Varied Life,"Eggleston, George Cary",1839,en,PS
"House of Torment
A Tale of the Remarkable Adventures of Mr. John Commendone, Gentleman to King Phillip II of Spain at the English Court","Thorne, Guy",1876,en,PR
One Maid's Mischief,"Fenn, George Manville",1831,en,PR
"Dutch the Diver; Or, A Man's Mistake","Fenn, George Manville",1831,en,PR
On the Cross: A Romance of the Passion Play at Oberammergau,"Hillern, Wilhelmine von",1836,en,PT
America First,"Greene, Frances Nimmo",1850,en,PZ
My Recollections,"Massenet, Jules",1842,en,ML
Occultism and Common-Sense,"Willson, Beckles",1869,en,BF
"Tales of the Wonder Club, Volume III","Halidom, M. Y.",1838,en,PR
Charlie Newcomer,"Stover, Wilbur B.",1866,en,BV
Molly Brown's College Friends,"Speed, Nell",1878,en,PZ
Molly Brown of Kentucky,"Speed, Nell",1878,en,PZ
Essays Before a Sonata,"Ives, Charles",1874,en,PS
"Astronomy with an Opera-glass
A Popular Introduction to the Study of the Starry Heavens with the Simplest of Optical Instruments","Serviss, Garrett Putman",1851,en,QB
The Mountains of Oregon,"Steel, W. G. (William Gladstone)",1854,en,F850.5
"The Dragon and the Raven; Or, The Days of King Alfred","Henty, G. A. (George Alfred)",1832,en,PZ PR
Capturing a Locomotive: A History of Secret Service in the Late War.,"Pittenger, William",1840,en,E456
"The Cavaliers of Virginia, vol. 2 of 2
or, The Recluse of Jamestown; An historical romance of the Old Dominion","Caruthers, William Alexander",1802,en,PS
Knut Hamsun,"Larsen, Hanna Astrup",1873,en,PT
Cynthia Wakeham's Money,"Green, Anna Katharine",1846,en,PS
"Daisy; or, The Fairy Spectacles","Guild, C. S. (Caroline Snowden)",1827,en,PZ
"Minnie; or, The Little Woman: A Fairy Story","Guild, C. S. (Caroline Snowden)",1827,en,PZ
The Reform of Education,"Gentile, Giovanni",1875,en,LB
In the Track of the Bookworm,"Browne, Irving",1835,en,Z
The Cradle of the Christ: A Study in Primitive Christianity,"Frothingham, Octavius Brooks",1822,en,BL BS
Triumphs of Invention and Discovery in Art and Science,"Fyfe, J. Hamilton (James Hamilton)",1837,en,T
Sun and Saddle Leather,"Clark, Badger",1883,en,PS
"The Phantoms of the Foot-Bridge, and Other Stories","Murfree, Mary Noailles",1850,en,PS
The Hearts of Men,"Fielding, H. (Harold)",1859,en,BL
Oxford Lectures on Poetry,"Bradley, A. C. (Andrew Cecil)",1851,en,PN
Inventions in the Century,"Doolittle, William Henry",1844,en,T
Twenty-Five Years in the Rifle Brigade,"Surtees, William",1781,en,U UA
On Our Selection,"Rudd, Steele",1868,en,PR
More Misrepresentative Men,"Graham, Harry",1874,en,PR
Concerning Lafcadio Hearn; With a Bibliography by Laura Stedman,"Gould, George M. (George Milbrey)",1848,en,PS
Critical Studies,Ouida,1839,en,PN
A Twofold Life,"Hillern, Wilhelmine von",1836,en,PT
Jonah,"Stone, Louis",1871,en,PR
A Book About the Theater,"Matthews, Brander",1852,en,PN
"The Mormon Puzzle, and How to Solve It","Beers, R. W.",1860,en,BX
"Myth, Ritual And Religion, Vol. 2 (of 2)","Lang, Andrew",1844,en,BL
"Bygones Worth Remembering, Vol. 1 (of 2)","Holyoake, George Jacob",1817,en,DA
"Bygones Worth Remembering, Vol. 2 (of 2)","Holyoake, George Jacob",1817,en,DA
The Principles Of Secularism,"Holyoake, George Jacob",1817,en,BL
"The Limits Of Atheism; Or, Why should Sceptics be Outlaws?","Holyoake, George Jacob",1817,en,BL
"The History Of The Last Trial By Jury For Atheism In England
A Fragment of Autobiography Submitted for the Perusal of Her Majesty's Attorney-General and the British Clergy","Holyoake, George Jacob",1817,en,KD
"Getting Gold: A Practical Treatise for Prospectors, Miners and Students","Johnson, J. C. F. (Joseph Colin Frances)",1848,en,TN
"Ludicrous Aspects Of Christianity
A Response To The Challenge Of The Bishop Of Manchester","Holyoake, Austin",1826,en,BL
"A Logic Of Facts; Or, Every-day Reasoning","Holyoake, George Jacob",1817,en,BC
The Hour Will Come: A Tale of an Alpine Cloister. Volumes I and II,"Hillern, Wilhelmine von",1836,en,PT
"Visits and Sketches at Home and Abroad, Vol. 1 (of 3)
With Tales and Miscellanies Now First Collected","Jameson, Mrs. (Anna)",1794,en,DD
"Visits and Sketches at Home and Abroad, Vol. 2 (of 3)
With Tales and Miscellanies Now First Collected","Jameson, Mrs. (Anna)",1794,en,DD
Mr. Crewe's Career — Volume 1,"Churchill, Winston",1871,en,PS
"Visits and Sketches at Home and Abroad, Vol. 3 (of 3)
With Tales and Miscellanies Now First Collected","Jameson, Mrs. (Anna)",1794,en,DD
"Maxims and Hints on Angling, Chess, Shooting, and Other Matters
Also, Miseries of Fishing","Penn, Richard",1784,en,SK GV SH
Tablets,"Alcott, Amos Bronson",1799,en,PS
The Vulture Maiden [Die Geier-Wally.],"Hillern, Wilhelmine von",1836,en,PT
Throckmorton: A Novel,"Seawell, Molly Elliot",1860,en,PS
Mr. Crewe's Career — Volume 2,"Churchill, Winston",1871,en,PS
The Badger: A Monograph,"Pease, Alfred E. (Alfred Edward), Sir",1857,en,QL
"A Tree with a Bird in it:
A Symposium of Contemporary American Poets on Being Shown a Pear-tree on Which Sat a Grackle","Widdemer, Margaret",1884,en,PS
The Men Who Wrought,"Cullum, Ridgwell",1867,en,PR
Mr. Crewe's Career — Volume 3,"Churchill, Winston",1871,en,PS
The Making of an Apostle,"Campbell, R. J. (Reginald John)",1867,en,BS
"The Works of Daniel Webster, Volume 1","Webster, Daniel",1782,en,E300
In New England Fields and Woods,"Robinson, Rowland Evans",1833,en,QH
George Eliot,"Blind, Mathilde",1841,en,PR
Think: A Book for To-day,"Hunter, William Crosbie",1866,en,BJ
The Story of Antony Grace,"Fenn, George Manville",1831,en,PR
The Chief Justice: A Novel,"Franzos, Karl Emil",1848,en,PT
Gabriel: A Story of the Jews in Prague,"Kohn, S. (Salomon)",1825,en,PT
The Prophet Ezekiel: An Analytical Exposition,"Gaebelein, Arno Clemens",1861,en,BS
"The Green Casket, and other stories","Molesworth, Mrs.",1839,en,PZ
"Responsibilities, and other poems","Yeats, W. B. (William Butler)",1865,en,PR
The Real Man,"Lynde, Francis",1856,en,PS
The Army of the Cumberland,"Cist, Henry Martyn",1839,en,E456
Making a Rose Garden,"Saylor, Henry H. (Henry Hodgman)",1880,en,SB
A Fluttered Dovecote,"Fenn, George Manville",1831,en,PR
A Girl in Spring-Time,"Vaizey, George de Horne, Mrs.",1857,en,PZ PR
Midnight Webs,"Fenn, George Manville",1831,en,PR
Helena's Path,"Hope, Anthony",1863,en,PR
"Rambles by Land and Water; or, Notes of Travel in Cuba and Mexico","Norman, Benjamin Moore",1809,en,F1201
The Ruby of Kishmoor,"Pyle, Howard",1853,en,PS
The Sea Bride,"Williams, Ben Ames",1889,en,PS
A Grammar of Freethought,"Cohen, Chapman",1868,en,BL
"The Story of Nefrekepta, from a Demotic Papyrus","Murray, Gilbert",1866,en,PJ
The War Trail,"Gregor, Elmer Russell",1878,en,PZ
The Chronicles of Clovis,Saki,1870,en,PR
The English Church in the Middle Ages,"Hunt, William",1842,en,BR
"Health, Healing, and Faith","Conwell, Russell H.",1843,en,BT
A Cabinet Secret,"Boothby, Guy",1867,en,PR
George Alfred Henty: The Story of an Active Life,"Fenn, George Manville",1831,en,PR
"Benjamin Franklin, Self-Revealed, Volume 1 (of 2)
A Biographical and Critical Study Based Mainly on his own Writings","Bruce, Wiliam Cabell",1860,en,E300
"Benjamin Franklin; Self-Revealed, Volume 2 (of 2)
A Biographical and Critical Study Based Mainly on his own Writings","Bruce, Wiliam Cabell",1860,en,E300
Increasing Personal Efficiency,"Conwell, Russell H.",1843,en,LC
Praying for Money,"Conwell, Russell H.",1843,en,BV
"Letters of Franz Liszt -- Volume 1
from Paris to Rome: Years of Travel as a Virtuoso","Liszt, Franz",1811,en,ML
"Marvels of Pond-life
Or, A Year's Microscopic Recreations Among the Polyps, Infusoria, Rotifers, Water-bears and Polyzoa","Slack, Henry James",1818,en,QL
For the Right,"Franzos, Karl Emil",1848,en,PT
"Spiritualism and the New Psychology
An Explanation of Spiritualist Phenomena and Beliefs in Terms of Modern Knowledge","Culpin, Millais",1874,en,BF
"Floor Games; a companion volume to ""Little Wars""","Wells, H. G. (Herbert George)",1866,en,GV
The Hero in Man,"Russell, George William",1867,en,PR BV
"The Divine Vision, and Other Poems","Russell, George William",1867,en,PR
A Son of the Sahara,"Gerard, Louise",1878,en,PS
His Lady of the Sonnets,"Norwood, Robert Winkworth",1874,en,PS
The Piper and the Reed,"Norwood, Robert Winkworth",1874,en,PS
The Story of Fifty-Seven Cents,"Shackleton, Robert",1860,en,BX
The Heart's Country,"Vorse, Mary Heaton",1874,en,PS
Little Wars; a game for boys from twelve years of age to one hundred and fifty and for that more intelligent sort of girl who likes boys' games and books.,"Wells, H. G. (Herbert George)",1866,en,U
Antarctic Penguins: A Study of Their Social Habits,"Levick, G. Murray (George Murray)",1876,en,QL
Man's Redemption of Man: A Lay Sermon,"Osler, William",1849,en,R
"Memoir of Mary L. Ware, Wife of Henry Ware, Jr.","Hall, Edward B. (Edward Brooks)",1800,en,BX
Leighton,"Baldry, A. L. (Alfred Lys)",1858,en,ND
The House of Life,"Rossetti, Dante Gabriel",1828,en,PR
Murillo,"Bensusan, S. L. (Samuel Levy)",1872,en,ND
Constable,"Hind, C. Lewis (Charles Lewis)",1862,en,ND
Romney,"Hind, C. Lewis (Charles Lewis)",1862,en,ND
In the Days of the Guild,"Lamprey, Louise",1869,en,PZ
"Legend of Barkhamsted Light House
A Tale from the Litchfield Hills of Connecticut","Mills, Lewis Sprague",1874,en,PS
Judith Trachtenberg: A Novel,"Franzos, Karl Emil",1848,en,PT
Twenty Quick Soups,"Rorer, S. T.",1849,en,TX
A Tatter of Scarlet: Adventurous Episodes of the Commune in the Midi 1871,"Crockett, S. R. (Samuel Rutherford)",1860,en,PR
Biography of Rev. Hosea Ballou,"Ballou, Maturin Murray",1820,en,BX
The Gamekeeper at Home: Sketches of Natural History and Rural Life,"Jefferies, Richard",1848,en,SK
Wild Life in a Southern County,"Jefferies, Richard",1848,en,QH
Jock of the Bushveld,"Fitzpatrick, Percy",1862,en,SK
City Ballads,"Carleton, Will",1845,en,PS
Every Man His Own University,"Conwell, Russell H.",1843,en,LC
"Heroes of Israel
Text of the Hero Stories with Notes and Questions for Young Students","Soares, Theodore Gerald",1869,en,BS
Social Rights And Duties: Addresses to Ethical Societies. Vol 2 [of 2],"Stephen, Leslie",1832,en,HM
A Child of the Jago,"Morrison, Arthur",1863,en,PR
"My Attainment of the Pole
Being the Record of the Expedition That First Reached the Boreal Center, 1907-1909. With the Final Summary of the Polar Controversy","Cook, Frederick Albert",1865,en,G
"Equatorial America
Descriptive of a Visit to St. Thomas, Martinique, Barbadoes, and the Principal Capitals of South America","Ballou, Maturin Murray",1820,en,F2201
Harriet Martineau,"Miller, Florence Fenwick",1854,en,PR
A West Country Pilgrimage,"Phillpotts, Eden",1862,en,DA
"William de Colchester, Abbot of Westminster","Pearce, Ernest Harold",1865,en,BX
The Women of the Confederacy,"Underwood, J. L. (John Levi)",1836,en,E456
The Prince and the Page: A Story of the Last Crusade,"Yonge, Charlotte M. (Charlotte Mary)",1823,en,PR
"The Captured Scout of the Army of the James
A Sketch of the Life of Sergeant Henry H. Manning, of the Twenty-fourth Mass. Regiment","Trumbull, H. Clay (Henry Clay)",1830,en,E456
Old Trails on the Niagara Frontier,"Severance, Frank H. (Frank Hayward)",1856,en,F106
The Lost Heir,"Henty, G. A. (George Alfred)",1832,en,PZ
Finger Prints,"Galton, Francis",1822,en,GN
Papers from Overlook-House,"Beasley, Frederic W.",1808,en,PS
Some Phases of Sexual Morality and Church Discipline in Colonial New England,"Adams, Charles Francis",1835,en,F001
The ghosts of their ancestors,"Mills, Weymer Jay",1880,en,PS
The Ontario Archives: Scope of its Operations,"Fraser, Alexander",1860,en,F1001
"Body, Parentage and Character in History: Notes on the Tudor Period","Jordan, Furneaux",1830,en,BJ DA
The Future of Brooklyn,"Chapin, Alfred Clark",1848,en,F106
The Land of Lure: A Story of the Columbia River Basin,"Smith, Elliott",1868,en,PS
The War of the Worlds,"Wells, H. G. (Herbert George)",1866,en,PR
"The Proper Limits of the Government's Interference with the Affairs of the East-India Company
Attempted to be Assigned with some few Reflections Extorted by, and on, the Distracted State of the Times","Stair, John Dalrymple, Earl of",1720,en,DA
"The Devil's Elixir, Vol. 2 (of 2)","Hoffmann, E. T. A. (Ernst Theodor Amadeus)",1776,en,PT
Butterflies Worth Knowing,"Weed, Clarence Moores",1864,en,QL
"Get-Rich-Quick Wallingford
A Cheerful Account of the Rise and Fall of an American Business Buccaneer","Chester, George Randolph",1869,en,PS
"Elements of Morals
With Special Application of the Moral Law to the Duties of the Individual and of Society and the State","Janet, Paul",1823,en,BJ
The Comforts of Home,"Bergengren, Ralph",1871,en,PS
"Letters from High Latitudes
Being Some Account of a Voyage in 1856 of the Schooner Yacht ""Foam"" to Iceland, Jan Meyen, and Spitzbergen","Dufferin and Ava, Frederick Temple Blackwood, Marquis of",1826,en,DL
"Children's Ways
Being selections from the author’s ""Studies of childhood,"" with some additional matter","Sully, James",1842,en,LB
With Fire and Sword: An Historical Novel of Poland and Russia,"Sienkiewicz, Henryk",1846,en,PG
Religion And Health,"Walsh, James J. (James Joseph)",1865,en,BR
"Journal of Dr. Elias Cornelius, a Revolutionary Surgeon","Cornelius, Elias",1758,en,E201
The Key to Success,"Conwell, Russell H.",1843,en,LC
Stories of the Railroad,"Hill, John A. (John Alexander)",1858,en,PS
The Red Room,"Strindberg, August",1849,en,PT
Dot and the Kangaroo,"Pedley, Ethel C.",1859,en,PZ
The Coming of the King,"Hocking, Joseph",1860,en,PR
Greene Ferne Farm,"Jefferies, Richard",1848,en,PR
"Journal of Researches into the Natural History and Geology of the Countries Visited During the Voyage Round the World of H.M.S. Beagle Under the Command of Captain Fitz Roy, R.N.","Darwin, Charles",1809,en,QH
"Observations on Insanity
With Practical Remarks on the Disease and an Account of the Morbid Appearances on Dissection","Haslam, John",1764,en,RC
"Life of Mary Queen of Scots, Volume 1 (of 2)","Bell, Henry Glassford",1803,en,DA
"Life of Mary Queen of Scots, Volume 2 (of 2)","Bell, Henry Glassford",1803,en,DA
Happy Hawkins,"Wason, Robert Alexander",1874,en,PS
"Through These Eyes
The courageous struggle to find meaning in a life stressed with cancer","Isaacson, Lauren Ann",1961,en,RC
The Thousandth Woman,"Hornung, E. W. (Ernest William)",1866,en,PR
George Morland: Sixteen examples in colour of the artist's work,"Cuming, E. D. (Edward William Dirom)",1862,en,ND
Successward: A Young Man's Book for Young Men,"Bok, Edward William",1863,en,BJ
The Valiant Runaways,"Atherton, Gertrude Franklin Horn",1857,en,PS
A Brief Handbook of English Authors,"Adams, Oscar Fay",1855,en,Z
Neghborly Poems and Dialect Sketches,"Riley, James Whitcomb",1849,en,PS
World's End: A Story in Three Books,"Jefferies, Richard",1848,en,PR
"The Trimmed Lamp, and other Stories of the Four Million","Henry, O.",1862,en,PS
Great Ralegh,"De Sélincourt, Hugh",1878,en,DA
In Strange Company: A Story of Chili and the Southern Seas,"Boothby, Guy",1867,en,PR
"Through Shot and Flame
The Adventures and Experiences of J. D. Kestell Chaplain to President Steyn and General Christian De Wet","Kestell, J. D. (John Daniel)",1854,en,DT
Outlook Odes,"Crosland, T. W. H. (Thomas William Hodgson)",1865,en,PR
The Dales of Arcady,"Ratcliffe, Dorothy Una",1891,en,PR
Poems,"Stuart, Muriel",1889,en,PR
"John Pettie, R.A., H.R.S.A.
Sixteen examples in colour of the artist's work","Hardie, Martin",1875,en,ND
An Introduction to Chemical Science,"Williams, Rufus P. (Rufus Phillips)",1851,en,QD
A Song of the English,"Kipling, Rudyard",1865,en,PR
"The Bradys' Chinese Clew; Or, The Secret Dens of Pell Street","Doughty, Francis Worcester",1850,en,PS
Love Eternal,"Haggard, H. Rider (Henry Rider)",1856,en,PR
Of the Just Shaping of Letters,"Dürer, Albrecht",1471,en,NK
"The Demands of Rome
Her Own Story of Thirty-One Years as a Sister of Charity in the Order of the Sisters of Charity of Providence of the Roman Catholic Church","Schoffen, Elizabeth",1861,en,BX
Hints to Pilgrims,"Brooks, Charles S. (Charles Stephen)",1878,en,PS
"Little Women; Or, Meg, Jo, Beth, and Amy","Alcott, Louisa May",1832,en,PZ PS
A Life For a Love: A Novel,"Meade, L. T.",1854,en,PR
Health Through Will Power,"Walsh, James J. (James Joseph)",1865,en,RZ
The Zankiwank and The Bletherwitch: An Original Fantastic Fairy Extravaganza,"Fitz-Gerald, S. J. Adair (Shafto Justin Adair)",1859,en,PZ
"The Moral and Intellectual Diversity of Races
With Particular Reference to Their Respective Influence in the Civil and Political History of Mankind","Gobineau, Arthur, comte de",1816,en,CB
History of the Buccaneers of America,"Burney, James",1750,en,F2155
Concerning Sally,"Hopkins, William John",1863,en,PS
"Sea-Weeds, Shells and Fossils","Woodward, B. B. (Bernard Bolingbroke)",1816,en,QK QL
Charles Dickens' Children Stories,"Dickens, Charles",1812,en,PZ PR
A Foreword to the Panama-Pacific International Exposition,"James, Juliet Helena Lumbard",1864,en,TC
Salome,"Marshall, Emma",1830,en,PR
Lives of the Fur Folk,"Haviland, Maud D. (Maud Doria)",1889,en,PR QL
Songs of Womanhood,"Alma-Tadema, Laurence",1864,en,PR
The Elements of Style,"Strunk, William",1869,en,PE
"The Happy Golfer
Being Some Experiences, Reflections, and a Few Deductions of a Wandering Golfer","Leach, Henry",1874,en,GV
A Proposal Under Difficulties: A Farce,"Bangs, John Kendrick",1862,en,PS
Subconscious Religion,"Conwell, Russell H.",1843,en,BV
"Observations on Madness and Melancholy
Including Practical Remarks on those Diseases together with Cases and an Account of the Morbid Appearances on Dissection","Haslam, John",1764,en,RC
The Leak,"Futrelle, Jacques",1875,en,PS
"The Cricket's Friends: Tales Told by the Cricket, Teapot, and Saucepan","Johnson, Virginia W. (Virginia Wales)",1849,en,PZ
The Other Fellow,"Smith, Francis Hopkinson",1838,en,PS
"Fritz to the Front, or, the Ventriloquist Scamp-Hunter","Wheeler, Edward L. (Edward Lytton)",1854,en,PS
Undine,"La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de",1777,en,PT
A Maid of Many Moods,"Sheard, Virna",1864,en,PS
Queen Victoria,"Strachey, Lytton",1880,en,DA
Songs of Heroic Days,"O'Hagan, Thomas",1855,en,PS
"Canada, My Land; and Other Compositions in Verse","MacKeracher, William M. (William Mackay)",1871,en,PS
"Ireland in the Days of Dean Swift (Irish Tracts, 1720 to 1734)","Swift, Jonathan",1667,en,PR
The Pros and Cons of Vivisection,"Richet, Charles",1850,en,HV
The Parenticide Club,"Bierce, Ambrose",1842,en,PS
The Girls of St. Cyprian's: A Tale of School Life,"Brazil, Angela",1869,en,PZ
Norston's Rest,"Stephens, Ann S. (Ann Sophia)",1810,en,PS
Ariadne in Mantua: A Romance in Five Acts,"Lee, Vernon",1856,en,PR
Lost Sir Massingberd: A Romance of Real Life. v. 1/2,"Payn, James",1830,en,PR
Lost Sir Massingberd: A Romance of Real Life. v. 2/2,"Payn, James",1830,en,PR
"In a Glass Darkly, v. 1/3","Le Fanu, Joseph Sheridan",1814,en,PR
"In a Glass Darkly, v. 2/3","Le Fanu, Joseph Sheridan",1814,en,PR
"In a Glass Darkly, v. 3/3","Le Fanu, Joseph Sheridan",1814,en,PR
"Ludvig Holberg, The Founder of Norwegian Literature and an Oxford Student","Hammer, S. C. (Simon Christian)",1866,en,PT
"Cecil Castlemaine's Gage, Lady Marabout's Troubles, and Other Stories",Ouida,1839,en,PR
"Limbo, and Other Essays; To which is now added Ariadne in Mantua","Lee, Vernon",1856,en,PR
Penelope Brandling: A Tale of the Welsh coast in the Eighteenth Century,"Lee, Vernon",1856,en,PR
The War-Workers,"Delafield, E. M.",1890,en,PR
The Adventures of a Widow: A Novel,"Fawcett, Edgar",1847,en,PS
An Introduction to the History of Japan,"Hara, Katsuro",1871,en,DS
Plish and Plum,"Busch, Wilhelm",1832,en,PZ PT
The Return of the Soldier,"West, Rebecca",1892,en,PR
The Main Chance,"Nicholson, Meredith",1866,en,PS
"John Greenleaf Whittier: His Life, Genius, and Writings","Kennedy, William Sloane",1850,en,PS
"Bell's Cathedrals: The Cathedral Church of Manchester
A Short History and Description of the Church and of the Collegiate Buildings now known as Chetham's Hospital","Perkins, Thomas, Rev.",1842,en,NA
"The Deluge: An Historical Novel of Poland, Sweden, and Russia. Vol. 1 (of 2)","Sienkiewicz, Henryk",1846,en,PG
Ecology of the Opossum on a Natural Area in Northeastern Kansas,"Fitch, Henry S. (Henry Sheldon)",1909,en,QH
"Literary Blunders: A Chapter in the ""History of Human Error""","Wheatley, Henry B. (Henry Benjamin)",1838,en,PN
Telepathy and the Subliminal Self,"Mason, R. Osgood (Rufus Osgood)",1830,en,BF
Sea and Sardinia,"Lawrence, D. H. (David Herbert)",1885,en,DG
Castles and Chateaux of Old Touraine and the Loire Country,"Mansfield, M. F. (Milburg Francisco)",1871,en,DC
The Discards,"McWhorter, Lucullus Virgil",1860,en,E011
Reincarnations,"Stephens, James",1882,en,PR
The Adventures of Seumas Beg; The Rocky Road to Dublin,"Stephens, James",1882,en,PR
Olinda's Adventures: or the Amours of a Young Lady,"Trotter, Catharine",1679,en,PR
Little Susy's Little Servants,"Prentiss, E. (Elizabeth)",1818,en,PZ
"France and England in North America, Part I: Pioneers of France in the New World","Parkman, Francis",1823,en,F1001
Down the Yellowstone,"Freeman, Lewis R. (Lewis Ransome)",1878,en,F721
"The Biological Problem of To-day: Preformation Or Epigenesis?
The Basis of a Theory of Organic Development","Hertwig, Oscar",1849,en,QH
Insanity: Its Causes and Prevention,"Stearns, Henry Putnam",1828,en,RC
"Popular Books on Natural Science
For Practical Use in Every Household, for Readers of All Classes","Bernstein, Aaron David",1812,en,Q
"The Galley Slave's Ring; or, The Family of Lebrenn
A Tale of The French Revolution of 1848","Sue, Eugène",1804,en,PQ
"English Lands Letters and Kings
Queen Anne and the Georges","Mitchell, Donald Grant",1822,en,PR
"Great Britain's Sea Policy
A Reply to an American Critic, reprinted from 'The Atlantic Monthly'","Murray, Gilbert",1866,en,D501
A Daughter of the Land,"Stratton-Porter, Gene",1863,en,PZ PS
"Frauds and Follies of the Fathers
A Review of the Worth of Their Testimony to the Four Gospels","Wheeler, J. M. (Joseph Mazzini)",1850,en,BX
"Supernatural Religion, Vol. 1 (of 3)
An Inquiry into the Reality of Divine Revelation","Cassels, Walter Richard",1826,en,BL
"Supernatural Religion, Vol. 2 (of 3)
An Inquiry into the Reality of Divine Revelation","Cassels, Walter Richard",1826,en,BL
"Supernatural Religion, Vol. 3 (of 3)
An Inquiry into the Reality of Divine Revelation","Cassels, Walter Richard",1826,en,BL
My Path to Atheism,"Besant, Annie",1847,en,BL
"The Black Poodle, and Other Tales","Anstey, F.",1856,en,PR
The Tigress,"Warner, Anne",1869,en,PS
